read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
3850_3LV7H5_2	436	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	33.0	20	18	2	0.9	1.0	51	71	True	True	True	R1|R1_rc
3851_3LV7H5_2	318	R1	19.5	20	16	4	0.8	1.0	49	75	R1_rc	16.5	20	13	7	0.65	1.0	46	66	True	False	False	NA
3852_3LV7H5_2	370	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	49	69	True	True	True	R1|R1_rc
3853_3LV7H5_2	471	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	34.0	20	18	2	0.9	1.0	52	72	True	True	True	R1|R1_rc
3854_3LV7H5_2	268	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3855_3LV7H5_2	483	R1	30.0	20	17	3	0.85	1.0	6	26	R1_rc	34.0	20	19	1	0.95	1.0	53	74	True	True	True	R1|R1_rc
3856_3LV7H5_2	294	R1	18.5	20	16	4	0.8	1.0	19	47	R1_rc	40.0	20	20	0	1.0	1.0	31	51	True	True	True	R1|R1_rc
3857_3LV7H5_2	290	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	28.5	20	16	4	0.8	1.0	56	76	True	True	True	R1|R1_rc
3858_3LV7H5_2	490	R1	37.0	20	19	1	0.95	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3859_3LV7H5_2	894	R1	40.0	20	20	0	1.0	1.0	0	20	R1_rc	40.0	20	20	0	1.0	1.0	59	79	True	True	True	R1|R1_rc
3860_3LV7H5_2	322	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3861_3LV7H5_2	721	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3862_3LV7H5_2	468	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
3863_3LV7H5_2	466	R1_rc	19.5	20	16	4	0.8	1.0	40	66	R1_rc	18.0	20	16	4	0.8	1.0	7	37	True	True	True	R1_rc|R1_rc
3864_3LV7H5_2	651	R1	16.5	20	14	6	0.7	1.0	58	82	R1_rc	18.0	20	16	4	0.8	1.0	49	77	False	True	False	NA
